signal_date,entry_date,strategy,ticker,side,shares,entry_fill_est,planned_exit_date
2020-03-05,2020-03-06,MR_1A,MET,BUY,2.0318258500415306e-19,38.79999877929688,2020-03-20
2020-03-05,2020-03-06,MR_1A,BAC,BUY,2.997463465035544e-19,25.48999931335449,2020-03-20
2020-03-05,2020-03-06,MR_1A,WFC,BUY,2.262821757721905e-19,37.02,2020-03-20
2020-03-05,2020-03-06,MR_1A,SBUX,BUY,1.2524860520676854e-19,73.47999908447265,2020-03-20
2020-03-05,2020-03-06,MR_1A,FDX,BUY,5.574314125824595e-20,125.77,2020-03-20
2020-03-06,2020-03-09,MR_1A,AIG,BUY,2.8007175610643406e-35,34.630000610351566,2020-03-23
2020-03-06,2020-03-09,MR_1A,JPM,BUY,1.1058368718944304e-35,96.58999969482421,2020-03-23
2020-03-06,2020-03-09,MR_1A,XOM,BUY,2.5005310190120626e-35,41.72999908447266,2020-03-23
2020-03-09,2020-03-10,MR_1A,COP,BUY,9.332075520666882e-51,36.65999938964844,2020-03-24
2020-03-18,2020-03-19,MR_1A,SPG,BUY,0.008791325923928318,46.33000137329102,2020-04-02
2020-03-20,2020-03-23,MR_1A,BA,BUY,0.0005080998564989126,98.77,2020-04-06
2020-03-20,2020-03-23,MR_1A,DUK,BUY,0.002072255015024928,66.40999938964843,2020-04-06
2020-03-20,2020-03-23,MR_1A,KO,BUY,0.0037090013935311616,38.779998321533206,2020-04-06
2020-03-20,2020-03-23,MR_1A,PEP,BUY,0.0013090975700540443,106.02,2020-04-06
2020-03-20,2020-03-23,MR_1A,PM,BUY,0.0020659187627640285,58.97999908447266,2020-04-06
2020-03-20,2020-03-23,MR_1A,COF,BUY,0.0017166498611420383,43.40999938964844,2020-04-06
2020-03-20,2020-03-23,MR_1A,CVX,BUY,0.001803249303744422,58.279998321533206,2020-04-06
2020-03-23,2020-03-24,MR_1A,ABT,BUY,0.0025694737529657337,64.93000366210937,2020-04-07
2020-03-23,2020-03-24,MR_1A,T,BUY,0.008795605155622773,21.168035049438476,2020-04-07
2020-03-23,2020-03-24,MR_1A,MO,BUY,0.005123352688927556,32.15000106811524,2020-04-07
2020-03-24,2020-03-25,MR_1A,AMT,BUY,1.4691708930944137e-19,188.91999389648439,2020-04-08
2020-04-02,2020-04-03,MR_1A,SPG,BUY,0.022657559809901827,44.22999908447266,2020-04-20
2020-04-09,2020-04-13,TP_v2,GILD,BUY,0.020914224331984792,75.82000305175781,2020-05-11
2020-04-20,2020-04-21,MR_1A,SPG,BUY,0.02234406334410325,52.24999954223633,2020-05-05
2020-04-21,2020-04-22,TP_v2,INTC,BUY,8.126795057667294e-05,58.290000457763675,2020-05-20
2020-04-21,2020-04-22,TP_v2,AAPL,BUY,8.657903562462433e-05,68.42249633789062,2020-05-20
2020-04-21,2020-04-22,TP_v2,AMT,BUY,1.9716584988111238e-05,246.24999572753907,2020-05-20
2020-04-21,2020-04-22,TP_v2,NVDA,BUY,0.0005953107804370268,6.950749893188476,2020-05-20
2020-04-21,2020-04-22,TP_v2,NOW,BUY,6.968436525510365e-05,59.20399810791016,2020-05-20
2020-04-21,2020-04-22,TP_v2,COST,BUY,2.3866522756916976e-05,304.02,2020-05-20
2020-04-21,2020-04-22,MR_1A,NVDA,BUY,0.0013878619561631883,6.950749893188476,2020-05-06
2020-04-22,2020-04-23,MR_1A,BA,BUY,1.3883635711461395e-05,136.52,2020-05-07
2020-04-22,2020-04-23,MR_1A,AIG,BUY,9.7211203461777e-05,22.6499991607666,2020-05-07
2020-04-22,2020-04-23,MR_1A,MO,BUY,0.00011276585783938347,38.029998321533206,2020-05-07
2020-04-22,2020-04-23,MR_1A,C,BUY,6.229247001772006e-05,42.67000152587891,2020-05-07
2020-05-05,2020-05-06,TP_v2,AMD,BUY,0.01547467030201771,52.439998168945316,2020-06-04
2020-05-05,2020-05-06,MR_1A,WFC,BUY,0.00313090541970726,26.479999084472656,2020-05-20
2020-05-05,2020-05-06,MR_1A,RTX,BUY,0.0014522610948171936,59.31999923706055,2020-05-20
2020-05-05,2020-05-06,MR_1A,GE,BUY,0.002426646975132239,30.921636123657226,2020-05-20
2020-05-05,2020-05-06,MR_1A,USB,BUY,0.002511509398810745,33.8699984741211,2020-05-20
2020-05-05,2020-05-06,MR_1A,SCHW,BUY,0.002955290437240183,35.35000183105469,2020-05-20
2020-05-05,2020-05-06,MR_1A,FDX,BUY,0.0009029494499779487,118.90999938964843,2020-05-20
2020-05-06,2020-05-07,TP_v2,BLK,BUY,1.2493113129475884e-05,494.8899951171875,2020-06-05
2020-05-06,2020-05-07,MR_1A,SPG,BUY,7.369589024986522e-05,55.92999984741211,2020-05-21
2020-05-07,2020-05-08,MR_1A,MO,BUY,0.0003085568997233079,35.65000106811524,2020-05-22
2020-05-13,2020-05-14,MR_1A,COF,BUY,0.004861945133574213,52.6199984741211,2020-05-29
2020-05-13,2020-05-14,MR_1A,AXP,BUY,0.0042822529858926395,76.93999816894531,2020-05-29
2020-05-13,2020-05-14,MR_1A,MET,BUY,0.010939189894292347,30.079999465942382,2020-05-29
2020-05-13,2020-05-14,MR_1A,C,BUY,0.007544618866109096,40.0100016784668,2020-05-29
2020-05-18,2020-05-19,TP_v2,GILD,BUY,0.006421875356814152,73.68999816894531,2020-06-17
2020-05-21,2020-05-22,TP_v2,AMGN,BUY,0.0006886802477331975,224.18999816894532,2020-06-22
2020-05-21,2020-05-22,TP_v2,BMY,BUY,0.0030255807605651377,61.029998321533206,2020-06-22
2020-05-22,2020-05-26,TP_v2,NFLX,BUY,0.0015151713598919123,42.7970004272461,2020-06-23
2020-05-22,2020-05-26,TP_v2,LLY,BUY,0.0004997533431036421,151.13000061035157,2020-06-23
2020-05-22,2020-05-26,TP_v2,JNJ,BUY,0.0006654408591474561,146.21000244140626,2020-06-23
2020-05-26,2020-05-27,TP_v2,TGT,BUY,3.937988624001469e-20,115.64999725341796,2020-06-24
